case_id,family_id,descriptor,file,crop_applied,crop_window_pairs,crop_threshold,crop_pad_windows,crop_stop_byte,regimes,boundary_kinds,class_transitions,phase_transitions,regime_0,frame_hex_0,frame_bits_len_0,class_digest_0,regime_1,frame_hex_1,frame_bits_len_1,class_digest_1,regime_2,frame_hex_2,frame_bits_len_2,class_digest_2,regime_3,frame_hex_3,frame_bits_len_3,class_digest_3,notes
live_abcd10,ABCD10,prefix16_check4_counter4,live-te160-keyabcd10-rep10-433920000.iq,true,15,98304,400,834030,15:98304;16:131072;18:147456,"[truncation,truncation]","[true,true]","[true,true]",15:98304,abcd10,24,06017c95923ccb6afe1fa249c8d798b8,16:131072,15,5,030e91829ffe63fa35ef14617c38044d,18:147456,55e,11,e9b60290daafcbb221efca1a974eeca8,,,,,fresh live edge capture
live_7ea5b0,7EA5B0,prefix8_flag4_payload8_counter4,live-te180-key7ea5b0-rep10-433920000.iq,true,19,131060,400,855836,19:155648;20:131060,[drift],[true],[true],19:155648,fd4b6,20,25e9848d5af434749f18b0f60334afc8,20:131060,7ea5b0,24,025475fac179c31460185e936f385f89,,,,,,,,,fresh live edge capture
live_c0ffee,C0FFEE,static,live-te175-keyc0ffee-rep10-433920000.iq,true,15,98304,400,846090,15:98304;18:147456;19:124507;20:131072,"[stable,stable,metamer]","[false,false,true]","[false,false,true]",15:98304,c0ffee,24,f0409e8cb4d2bdaba1fdd093301be576,18:147456,c0ffee,24,f0409e8cb4d2bdaba1fdd093301be576,19:124507,c0ffee,24,f0409e8cb4d2bdaba1fdd093301be576,20:131072,c0ffee,24,454c6febdf94340833117529bbb852ff,fresh live edge capture
live_d15ea5,D15EA5,static,live-te175-keyd15ea5-rep10-433920000.iq,true,15,98304,400,846990,15:98304;18:147456;19:124507,"[stable,metamer]","[false,true]","[false,true]",15:98304,d15ea5,24,0ce096fea1adcd848b8e0f359833feca,18:147456,d15ea5,24,0ce096fea1adcd848b8e0f359833feca,19:124507,d15ea5,24,6de8a9a525c3cba82ac69f44e397b789,,,,,fresh live edge capture
live_beef90_run1,BEEF90,prefix12_check4_payload4_counter4,live-te170-keybeef90-rep10-433920000.iq,true,16,124507,400,840416,16:131072;19:124507,[truncation],[true],[true],16:131072,beef90,24,f85a7588338de63f1506c84cecb0e026,19:124507,17ddf2,21,f0c35b854ff6b2caaf57938f63e6bee5,,,,,,,,,first fresh live edge capture
live_beef90_run2,BEEF90,prefix12_check4_payload4_counter4,live-te170-keybeef90-rep10-run2-433920000.iq,true,16,124507,400,848480,16:131072;19:124507,[truncation],[true],[true],16:131072,beef90,24,f85a7588338de63f1506c84cecb0e026,19:124507,2fbbe4,22,4dd65d978388ecb546edfa793ed70e8f,,,,,,,,,second fresh live edge capture
live_beef90_run3,BEEF90,prefix12_check4_payload4_counter4,live-te170-keybeef90-rep10-run3-433920000.iq,true,16,124507,400,840480,16:131072;19:124507,[truncation],[true],[true],16:131072,beef90,24,f85a7588338de63f1506c84cecb0e026,19:124507,17ddf2,21,f0c35b854ff6b2caaf57938f63e6bee5,,,,,,,,,third fresh live edge capture
live_a5c3d0,A5C3D0,prefix12_flag4_payload4_counter4,live-te190-keya5c3d0-rep10-433920000.iq,true,15,98304,400,855810,15:98304;20:131072,[truncation],[true],[true],15:98304,a5c3d0,24,9f6094750e509ccb6fd90af68d59b170,20:131072,14b87a,21,a1e693846f8662ec54b54a137d2c2c5c,,,,,,,,,fresh live edge capture
live_bada50,BADA50,prefix8_check4_flag4_payload4_counter4,live-te165-keybada50-rep10-433920000.iq,true,15,98304,400,843300,15:98304;20:131072;25:163840;30:196608,"[stable,truncation,truncation]","[false,true,true]","[false,true,true]",15:98304,bada50,24,7159ca25622a8934f3239c0ad37cc29b,20:131072,bada50,24,7159ca25622a8934f3239c0ad37cc29b,25:163840,b,4,7282714bb8bb785ed9682848c2eb39c5,30:196608,1,1,2ba1d12734fc9d54d132bda9148f8bb1,fresh live edge capture
live_c4fe80,C4FE80,prefix8_flag4_check4_payload4_counter4,live-te185-keyc4fe80-rep10-433920000.iq,true,15,98304,400,861900,15:98304;20:131072,[truncation],[true],[true],15:98304,c4fe80,24,3a1c5a892b97f4479d7f67cf4aa879b0,20:131072,3,2,ddf9e969cdae0585f17789823b96cb7a,,,,,,,,,fresh live edge capture
