case_id,family_id,corpus_file,live_file,regimes,corpus_boundary_kinds,live_boundary_kinds,corpus_class_transitions,live_class_transitions,corpus_phase_transitions,live_phase_transitions,corpus_frame_hex_seq,live_frame_hex_seq,same_boundary_kinds,same_class_transitions,same_phase_transitions,same_frame_hex_seq,comparison_label,notes
live_abcd10,ABCD10,captures/te160-keyabcd10-rep10-433920000.iq,live-te160-keyabcd10-rep10-433920000.iq,15:98304;16:131072;18:147456,"[stable,truncation]","[truncation,truncation]","[false,true]","[true,true]","[false,true]","[true,true]","[abcd10,abcd10,2af344]","[abcd10,15,55e]",false,false,false,false,divergent,fresh live edge capture
live_7ea5b0,7EA5B0,captures/te180-key7ea5b0-rep10-433920000.iq,live-te180-key7ea5b0-rep10-433920000.iq,19:155648;20:131060,[metamer],[drift],[true],[true],[true],[true],"[7ea5b0,7ea5b0]","[fd4b6,7ea5b0]",false,true,true,false,same_phase_mask,fresh live edge capture
live_c0ffee,C0FFEE,captures/te175-keyc0ffee-rep10-433920000.iq,live-te175-keyc0ffee-rep10-433920000.iq,15:98304;18:147456;19:124507;20:131072,"[stable,metamer,truncation]","[stable,stable,metamer]","[false,true,true]","[false,false,true]","[false,true,true]","[false,false,true]","[c0ffee,c0ffee,c0ffee,c]","[c0ffee,c0ffee,c0ffee,c0ffee]",false,false,false,false,divergent,fresh live edge capture
live_d15ea5,D15EA5,captures/te175-keyd15ea5-rep10-433920000.iq,live-te175-keyd15ea5-rep10-433920000.iq,15:98304;18:147456;19:124507,"[stable,metamer]","[stable,metamer]","[false,true]","[false,true]","[false,true]","[false,true]","[d15ea5,d15ea5,d15ea5]","[d15ea5,d15ea5,d15ea5]",true,true,true,true,exact_match,fresh live edge capture
live_beef90_run1,BEEF90,captures/te170-keybeef90-rep10-433920000.iq,live-te170-keybeef90-rep10-433920000.iq,16:131072;19:124507,[metamer],[truncation],[true],[true],[true],[true],"[beef90,beef90]","[beef90,17ddf2]",false,true,true,false,same_phase_mask,first fresh live edge capture
live_beef90_run2,BEEF90,captures/te170-keybeef90-rep10-433920000.iq,live-te170-keybeef90-rep10-run2-433920000.iq,16:131072;19:124507,[metamer],[truncation],[true],[true],[true],[true],"[beef90,beef90]","[beef90,2fbbe4]",false,true,true,false,same_phase_mask,second fresh live edge capture
live_beef90_run3,BEEF90,captures/te170-keybeef90-rep10-433920000.iq,live-te170-keybeef90-rep10-run3-433920000.iq,16:131072;19:124507,[metamer],[truncation],[true],[true],[true],[true],"[beef90,beef90]","[beef90,17ddf2]",false,true,true,false,same_phase_mask,third fresh live edge capture
live_a5c3d0,A5C3D0,captures/te190-keya5c3d0-rep10-433920000.iq,live-te190-keya5c3d0-rep10-433920000.iq,15:98304;20:131072,[truncation],[truncation],[true],[true],[true],[true],"[a5c3d0,297]","[a5c3d0,14b87a]",true,true,true,false,same_boundary_kinds,fresh live edge capture
live_bada50,BADA50,captures/te165-keybada50-rep10-433920000.iq,live-te165-keybada50-rep10-433920000.iq,15:98304;20:131072;25:163840;30:196608,"[stable,drift,truncation]","[stable,truncation,truncation]","[false,true,true]","[false,true,true]","[false,true,true]","[false,true,true]","[bada50,bada50,b5,1]","[bada50,bada50,b,1]",false,true,true,false,same_phase_mask,fresh live edge capture
live_c4fe80,C4FE80,captures/te185-keyc4fe80-rep10-433920000.iq,live-te185-keyc4fe80-rep10-433920000.iq,15:98304;20:131072,[truncation],[truncation],[true],[true],[true],[true],"[c4fe80,189fd]","[c4fe80,3]",true,true,true,false,same_boundary_kinds,fresh live edge capture
