catalog_id,subject_kind,subject_ids,analysis_window_pairs,analysis_threshold,packet_structure_spec,field_roles,field_offsets,field_widths,field_behaviors,field_first_values,field_last_values,packet_schema_kind,notes
family_000100_bytes_static,family_sweep,000100,20,131072,packet24_byte_structure_spec,payload;payload;payload,0;8;16,8;8;8,constant;constant;constant,0;1;0,0;1;0,static_packet24,single capture family; sequence semantics live in the counter probes
family_000101_bytes_static,family_sweep,000101,20,131072,packet24_byte_structure_spec,payload;payload;payload,0;8;16,8;8;8,constant;constant;constant,0;1;1,0;1;1,static_packet24,single capture family; sequence semantics live in the counter probes
family_000102_bytes_static,family_sweep,000102,20,131072,packet24_byte_structure_spec,payload;payload;payload,0;8;16,8;8;8,constant;constant;constant,0;1;2,0;1;2,static_packet24,single capture family; sequence semantics live in the counter probes
family_000103_bytes_static,family_sweep,000103,20,131072,packet24_byte_structure_spec,payload;payload;payload,0;8;16,8;8;8,constant;constant;constant,0;1;3,0;1;3,static_packet24,single capture family; sequence semantics live in the counter probes
family_0001FE_bytes_static,family_sweep,0001FE,20,131072,packet24_byte_structure_spec,payload;payload;payload,0;8;16,8;8;8,constant;constant;constant,0;1;254,0;1;254,static_packet24,single capture family; sequence semantics live in the carry probes
family_0001FF_bytes_static,family_sweep,0001FF,20,131072,packet24_byte_structure_spec,payload;payload;payload,0;8;16,8;8;8,constant;constant;constant,0;1;255,0;1;255,static_packet24,single capture family; sequence semantics live in the carry probes
family_000200_bytes_static,family_sweep,000200,20,131072,packet24_byte_structure_spec,payload;payload;payload,0;8;16,8;8;8,constant;constant;constant,0;2;0,0;2;0,static_packet24,single capture family; sequence semantics live in the carry probes
family_000201_bytes_static,family_sweep,000201,20,131072,packet24_byte_structure_spec,payload;payload;payload,0;8;16,8;8;8,constant;constant;constant,0;2;1,0;2;1,static_packet24,single capture family; sequence semantics live in the carry probes
family_1CEB00_bytes_static,family_sweep,1CEB00,20,131072,packet24_byte_structure_spec,payload;payload;payload,0;8;16,8;8;8,constant;constant;constant,28;235;0,28;235;0,static_packet24,byte-payload family is constant across te
family_55AA33_bytes_static,family_sweep,55AA33,20,131072,packet24_byte_structure_spec,payload;payload;payload,0;8;16,8;8;8,constant;constant;constant,85;170;51,85;170;51,static_packet24,byte-payload family is constant across te
family_7EA5B0_flag_payload_counter_static,family_sweep,7EA5B0,20,131072,packet24_prefix8_flag4_payload8_counter4_structure_spec,prefix;flag;payload;counter,0;8;12;20,8;4;8;4,constant;constant;constant;constant,126;10;91;0,126;10;91;0,prefix20_lo4_counter,7EA5B0 sweep is constant under a prefix/flag/payload/counter view
family_A1B2C3_bytes_static,family_sweep,A1B2C3,20,131072,packet24_byte_structure_spec,payload;payload;payload,0;8;16,8;8;8,constant;constant;constant,161;178;195,161;178;195,static_packet24,byte-payload family is constant across te
family_ABCD10_check_counter_static,family_sweep,ABCD10,20,131072,packet24_prefix16_check4_counter4_structure_spec,prefix;check;counter,0;16;20,16;4;4,constant;constant;constant,43981;1;0,43981;1;0,prefix20_lo4_counter,ABCD10 sweep is constant under a prefix/check/counter view
family_B16B00_bytes_static,family_sweep,B16B00,20,131072,packet24_byte_structure_spec,payload;payload;payload,0;8;16,8;8;8,constant;constant;constant,177;107;0,177;107;0,static_packet24,byte-payload family is constant across te
family_C0FFEE_bytes_static,family_sweep,C0FFEE,20,131072,packet24_byte_structure_spec,payload;payload;payload,0;8;16,8;8;8,constant;constant;constant,192;255;238,192;255;238,static_packet24,byte-payload family is constant across te
family_CAFE42_bytes_static,family_sweep,CAFE42,20,131072,packet24_byte_structure_spec,payload;payload;payload,0;8;16,8;8;8,constant;constant;constant,202;254;66,202;254;66,static_packet24,byte-payload family is constant across te
family_D15EA5_bytes_static,family_sweep,D15EA5,20,131072,packet24_byte_structure_spec,payload;payload;payload,0;8;16,8;8;8,constant;constant;constant,209;94;165,209;94;165,static_packet24,byte-payload family is constant across te
family_DEAD12_bytes_static,family_sweep,DEAD12,20,131072,packet24_byte_structure_spec,payload;payload;payload,0;8;16,8;8;8,constant;constant;constant,222;173;18,222;173;18,static_packet24,byte-payload family is constant across te
family_FACE01_bytes_static,family_sweep,FACE01,20,131072,packet24_byte_structure_spec,payload;payload;payload,0;8;16,8;8;8,constant;constant;constant,250;206;1,250;206;1,static_packet24,byte-payload family is constant across te
metamer_C0FFEE_repeat_bytes,repeat_variation,C0FFEE@rep1;C0FFEE@rep3;C0FFEE@rep10;C0FFEE@rep20,20,131072,packet24_byte_structure_spec,payload;payload;payload,0;8;16,8;8;8,constant;constant;constant,192;255;238,192;255;238,static_packet24,repeat variation preserves the first packet structure
sequence_000100_000103_hi16_lo8,sequence_probe,000100;000101;000102;000103,20,131072,packet24_hi16_lo8_structure_spec,prefix;counter,0;16,16;8,constant;unit_step,1;0,1;3,counter_ambiguous_simple,unit-step run fits hi16_lo8 on this short sequence
sequence_000100_000103_prefix12_suffix12,sequence_probe,000100;000101;000102;000103,20,131072,packet24_prefix12_suffix12_structure_spec,prefix;counter,0;12,12;12,constant;unit_step,0;256,0;259,counter_ambiguous_simple,unit-step run also fits prefix12_suffix12 on this short sequence
sequence_0001FE_000201_hi16_lo8,sequence_probe,0001FE;0001FF;000200;000201,20,131072,packet24_hi16_lo8_structure_spec,prefix;counter,0;16,16;8,variable;variable,1;254,2;1,no_simple_counter,8-bit carry breaks hi16_lo8 continuity
sequence_0001FE_000201_prefix12_suffix12,sequence_probe,0001FE;0001FF;000200;000201,20,131072,packet24_prefix12_suffix12_structure_spec,prefix;counter,0;12,12;12,constant;unit_step,0;510,0;513,counter_prefix12_suffix12,12-bit split stays continuous across the carry boundary
sequence_7EA5B0_7EA5B3_flag_payload_counter4,sequence_probe,7EA5B0;7EA5B1;7EA5B2;7EA5B3,20,131072,packet24_prefix8_flag4_payload8_counter4_structure_spec,prefix;flag;payload;counter,0;8;12;20,8;4;8;4,constant;constant;constant;unit_step,126;10;91;0,126;10;91;3,prefix20_lo4_counter,constant flag and payload with a unit-step low-nibble counter
sequence_7EA5BE_7EA5C1_flag_payload_counter4,sequence_probe,7EA5BE;7EA5BF;7EA5C0;7EA5C1,20,131072,packet24_prefix8_flag4_payload8_counter4_structure_spec,prefix;flag;payload;counter,0;8;12;20,8;4;8;4,constant;constant;variable;variable,126;10;91;14,126;10;92;1,static_packet24,payload changes at the carry boundary while the low nibble wraps
sequence_ABCD10_ABCD13_prefix16_check4_counter4,sequence_probe,ABCD10;ABCD11;ABCD12;ABCD13,20,131072,packet24_prefix16_check4_counter4_structure_spec,prefix;check;counter,0;16;20,16;4;4,constant;constant;unit_step,43981;1;0,43981;1;3,prefix20_lo4_counter,constant check nibble with unit-step low-nibble counter
sequence_ABCD1E_ABCD21_prefix16_boundary4_counter4,sequence_probe,ABCD1E;ABCD1F;ABCD20;ABCD21,20,131072,packet24_prefix16_boundary4_counter4_structure_spec,prefix;boundary;counter,0;16;20,16;4;4,constant;variable;variable,43981;1;14,43981;2;1,static_packet24,boundary nibble changes at the carry while the low nibble wraps
